,Condition,genes,Method,replicate,Step,time_s,mem_gb
133,100,1000,TreePL+ConBL,7,Dating,1.13,0.02936
134,100,1000,TreePL+ConBL,8,Branch length estimation,181.39,3.850116
135,100,1000,TreePL+ConBL,8,Dating,0.75,0.033464
136,100,1000,TreePL+ConBL,9,Branch length estimation,180.67,3.9045
137,100,1000,TreePL+ConBL,9,Dating,1.08,0.031416
138,100,1000,TreePL+ConBL,10,Branch length estimation,128.36,2.80742
139,100,1000,TreePL+ConBL,10,Dating,1.39,0.030676
140,100,1000,TreePL+ConBL,11,Branch length estimation,294.55,3.54684
141,100,1000,TreePL+ConBL,11,Dating,1.12,0.03042
142,100,1000,TreePL+ConBL,12,Branch length estimation,389.81,4.457188
143,100,1000,TreePL+ConBL,12,Dating,1.14,0.031676
144,100,1000,TreePL+ConBL,13,Branch length estimation,147.81,4.317268
145,100,1000,TreePL+ConBL,13,Dating,1.18,0.029376
146,100,1000,TreePL+ConBL,14,Branch length estimation,168.98,4.042612
147,100,1000,TreePL+ConBL,14,Dating,1.06,0.030624
148,100,1000,TreePL+ConBL,15,Branch length estimation,156.7,4.435396
149,100,1000,TreePL+ConBL,15,Dating,1.2,0.03168
150,100,1000,TreePL+ConBL,16,Branch length estimation,86.25,3.039872
151,100,1000,TreePL+ConBL,16,Dating,1.3,0.033448
152,100,1000,TreePL+ConBL,17,Branch length estimation,133.26,2.92272
153,100,1000,TreePL+ConBL,17,Dating,0.84,0.031152
154,100,1000,TreePL+ConBL,18,Branch length estimation,197.01,3.633452
155,100,1000,TreePL+ConBL,18,Dating,1.13,0.032184
156,100,1000,TreePL+ConBL,19,Branch length estimation,190.48,3.605612
157,100,1000,TreePL+ConBL,19,Dating,1.07,0.032972
158,100,1000,TreePL+ConBL,20,Branch length estimation,285.42,4.82574
159,100,1000,TreePL+ConBL,20,Dating,1.08,0.033264
160,200,1000,TreePL+CASTLES-Pro,1,Branch length estimation,5.28,0.521292
161,200,1000,TreePL+CASTLES-Pro,1,Dating,2.24,0.02648
162,200,1000,TreePL+CASTLES-Pro,2,Branch length estimation,4.75,0.519244
163,200,1000,TreePL+CASTLES-Pro,2,Dating,1.47,0.026188
164,200,1000,TreePL+CASTLES-Pro,3,Branch length estimation,4.89,0.521292
165,200,1000,TreePL+CASTLES-Pro,3,Dating,1.51,0.025732
166,200,1000,TreePL+CASTLES-Pro,4,Branch length estimation,5.47,0.51922
167,200,1000,TreePL+CASTLES-Pro,4,Dating,3.8,0.027636
168,200,1000,TreePL+CASTLES-Pro,5,Branch length estimation,7.21,0.518868
169,200,1000,TreePL+CASTLES-Pro,5,Dating,2.4,0.02742
170,200,1000,TreePL+CASTLES-Pro,6,Branch length estimation,5.33,0.519268
171,200,1000,TreePL+CASTLES-Pro,6,Dating,2.66,0.026216
172,200,1000,TreePL+CASTLES-Pro,7,Branch length estimation,5.39,0.519288
173,200,1000,TreePL+CASTLES-Pro,7,Dating,1.85,0.029328
174,200,1000,TreePL+CASTLES-Pro,8,Branch length estimation,5.7,0.519344
175,200,1000,TreePL+CASTLES-Pro,8,Dating,3.18,0.024612
176,200,1000,TreePL+CASTLES-Pro,9,Branch length estimation,6.35,0.51918
177,200,1000,TreePL+CASTLES-Pro,9,Dating,2.98,0.024436
178,200,1000,TreePL+CASTLES-Pro,10,Branch length estimation,6.12,0.519208
179,200,1000,TreePL+CASTLES-Pro,10,Dating,1.65,0.024856
180,200,1000,TreePL+CASTLES-Pro,11,Branch length estimation,8.33,0.540504
181,200,1000,TreePL+CASTLES-Pro,11,Dating,3.62,0.027044
182,200,1000,TreePL+CASTLES-Pro,12,Branch length estimation,6.38,0.521
183,200,1000,TreePL+CASTLES-Pro,12,Dating,2.91,0.026996
184,200,1000,TreePL+CASTLES-Pro,13,Branch length estimation,7.39,0.521036
185,200,1000,TreePL+CASTLES-Pro,13,Dating,4.0,0.02578
186,200,1000,TreePL+CASTLES-Pro,14,Branch length estimation,6.27,0.519268
187,200,1000,TreePL+CASTLES-Pro,14,Dating,2.75,0.027336
188,200,1000,TreePL+CASTLES-Pro,15,Branch length estimation,4.96,0.519264
189,200,1000,TreePL+CASTLES-Pro,15,Dating,1.97,0.026208
190,200,1000,TreePL+CASTLES-Pro,16,Branch length estimation,4.7,0.519256
191,200,1000,TreePL+CASTLES-Pro,16,Dating,2.64,0.026188
192,200,1000,TreePL+CASTLES-Pro,17,Branch length estimation,4.93,0.519332
193,200,1000,TreePL+CASTLES-Pro,17,Dating,2.4,0.02644
194,200,1000,TreePL+CASTLES-Pro,18,Branch length estimation,5.74,0.519244
195,200,1000,TreePL+CASTLES-Pro,18,Dating,1.96,0.025236
196,200,1000,TreePL+CASTLES-Pro,19,Branch length estimation,5.29,0.519184
197,200,1000,TreePL+CASTLES-Pro,19,Dating,3.1,0.027008
198,200,1000,TreePL+CASTLES-Pro,20,Branch length estimation,5.93,0.51926
199,200,1000,TreePL+CASTLES-Pro,20,Dating,3.04,0.02494
200,200,1000,TreePL+ConBL,1,Branch length estimation,422.3,8.545964
201,200,1000,TreePL+ConBL,1,Dating,3.21,0.025676
202,200,1000,TreePL+ConBL,2,Branch length estimation,419.56,8.781068
203,200,1000,TreePL+ConBL,2,Dating,2.04,0.027176
204,200,1000,TreePL+ConBL,3,Branch length estimation,402.67,8.412312
205,200,1000,TreePL+ConBL,3,Dating,2.84,0.024676
206,200,1000,TreePL+ConBL,4,Branch length estimation,320.18,7.586364
207,200,1000,TreePL+ConBL,4,Dating,3.0,0.0256
208,200,1000,TreePL+ConBL,5,Branch length estimation,180.73,4.694036
209,200,1000,TreePL+ConBL,5,Dating,3.01,0.028228
210,200,1000,TreePL+ConBL,6,Branch length estimation,661.4,9.058412
211,200,1000,TreePL+ConBL,6,Dating,3.95,0.026552
212,200,1000,TreePL+ConBL,7,Branch length estimation,344.19,7.256936
213,200,1000,TreePL+ConBL,7,Dating,2.17,0.026512
214,200,1000,TreePL+ConBL,8,Branch length estimation,626.48,8.151492
215,200,1000,TreePL+ConBL,8,Dating,2.3,0.02566
216,200,1000,TreePL+ConBL,9,Branch length estimation,474.56,7.019688
217,200,1000,TreePL+ConBL,9,Dating,2.87,0.024504
