,Calibrations,Condition,Outgroup,Method,replicate,l-true,l-est
3576,10,fasttree_genetrees_1600_non,False,TreePL+Concat(RAxML),27,0.36230392753056206,0.3196936026319822
3577,10,fasttree_genetrees_1600_non,False,TreePL+Concat(RAxML),28,0.41188955465763316,0.32033322888085597
3578,10,fasttree_genetrees_1600_non,False,TreePL+Concat(RAxML),29,0.30238206806544227,0.25513298098911086
3579,10,fasttree_genetrees_1600_non,False,TreePL+Concat(RAxML),30,0.34222553937965955,0.27497105358072416
3580,10,fasttree_genetrees_1600_non,False,TreePL+Concat(RAxML),31,0.3339772345500268,0.31585863537347375
3581,10,fasttree_genetrees_1600_non,False,TreePL+Concat(RAxML),32,0.25087266696571586,0.22278705736099497
3582,10,fasttree_genetrees_1600_non,False,TreePL+Concat(RAxML),33,0.3303034735802588,0.29233218128201616
3583,10,fasttree_genetrees_1600_non,False,TreePL+Concat(RAxML),34,0.38554020724164806,0.3385650710106403
3584,10,fasttree_genetrees_1600_non,False,TreePL+Concat(RAxML),35,0.33167333730594734,0.29306151258968105
3585,10,fasttree_genetrees_1600_non,False,TreePL+Concat(RAxML),36,0.34207352704337074,0.30699148101301654
3586,10,fasttree_genetrees_1600_non,False,TreePL+Concat(RAxML),37,0.40675292375264355,0.322883526568371
3587,10,fasttree_genetrees_1600_non,False,TreePL+Concat(RAxML),38,0.3384161835035158,0.2926975144624543
3588,10,fasttree_genetrees_1600_non,False,TreePL+Concat(RAxML),39,0.331620058770994,0.2652408968298022
3589,10,fasttree_genetrees_1600_non,False,TreePL+Concat(RAxML),40,0.38045127465403455,0.2913330987184955
3590,10,fasttree_genetrees_1600_non,False,TreePL+Concat(RAxML),41,0.340294864895315,0.30756335501227794
3591,10,fasttree_genetrees_1600_non,False,TreePL+Concat(RAxML),42,0.33318720815816266,0.28671559943534847
3592,10,fasttree_genetrees_1600_non,False,TreePL+Concat(RAxML),43,0.39306219668129394,0.2958897408466157
3593,10,fasttree_genetrees_1600_non,False,TreePL+Concat(RAxML),44,0.32916840630193334,0.2736209351798516
3594,10,fasttree_genetrees_1600_non,False,TreePL+Concat(RAxML),45,0.3381068459372091,0.2878921918302727
3595,10,fasttree_genetrees_1600_non,False,TreePL+Concat(RAxML),46,0.3458440477225414,0.2892234402338627
3596,10,fasttree_genetrees_1600_non,False,TreePL+Concat(RAxML),47,0.32916482855311785,0.2767253762296239
3597,10,fasttree_genetrees_1600_non,False,TreePL+Concat(RAxML),48,0.41064340273725336,0.3640419576082842
3598,10,fasttree_genetrees_1600_non,False,TreePL+Concat(RAxML),49,0.33625173960970406,0.3393857467049102
3599,10,fasttree_genetrees_1600_non,False,TreePL+Concat(RAxML),50,0.338845813035953,0.2738323052301152
3600,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,01,0.2869735097914402,0.3512559915283384
3601,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,02,0.3517386576590759,0.3519488392247789
3602,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,03,0.3991487354398542,0.42212978506148424
3603,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,04,0.3394295652522153,0.3648460114637746
3604,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,05,0.3716836028772108,0.3832632208286728
3605,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,06,0.31431040173331126,0.32629421341489373
3606,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,07,0.3843672413529946,0.4044826938113014
3607,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,08,0.37002302711832624,0.4260098059120672
3608,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,09,0.3192845953685708,0.3557678830876145
3609,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,10,0.3390700754449305,0.38635916742265347
3610,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,11,0.387676530014583,0.4261201942038219
3611,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,12,0.2926663448114712,0.3351090683080545
3612,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,13,0.35508879324635195,0.36163008295304033
3613,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,14,0.38674952956166386,0.41227825903842125
3614,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,15,0.42224311688500243,0.4337362251935526
3615,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,16,0.3427390109426372,0.39644718778724186
3616,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,17,0.3866668356284448,0.40500164388834875
3617,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,18,0.3150376118886787,0.33515668394642867
3618,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,19,0.35603261018628246,0.3616554731457095
3619,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,20,0.3225437094287793,0.35936569809895563
3620,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,21,0.3391663891394145,0.3853827642051036
3621,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,22,0.35580059440000794,0.3911624312842708
3622,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,23,0.3194318472261913,0.33111679994411425
3623,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,24,0.34627840745129507,0.35662886580384856
3624,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,25,0.3328313319128605,0.36814632715973333
3625,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,26,0.37167960225799007,0.4131742594157707
3626,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,27,0.36230392753056206,0.4065783483233356
3627,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,28,0.41188955465763316,0.4246512229151928
3628,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,29,0.30238206806544227,0.3218720509440292
3629,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,30,0.34222553937965955,0.3321098249483177
3630,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,31,0.3339772345500268,0.397623473529969
3631,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,32,0.25087266696571586,0.24338837058934634
3632,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,33,0.3303034735802588,0.34515250706142986
3633,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,34,0.38554020724164806,0.3730932636977231
3634,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,35,0.33167333730594734,0.3309859216799594
3635,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,36,0.34207352704337074,0.3683498583248233
3636,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,37,0.40675292375264355,0.42180319862142207
3637,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,38,0.3384161835035158,0.34221825066025896
3638,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,39,0.331620058770994,0.35343347620917426
3639,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,40,0.38045127465403455,0.3872478243620832
3640,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,41,0.340294864895315,0.41624162806779785
3641,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,42,0.33318720815816266,0.3412709676981339
3642,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,43,0.39306219668129394,0.36460124169945735
3643,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,44,0.32916840630193334,0.3520955887768629
3644,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,45,0.3381068459372091,0.31780514891506806
3645,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,46,0.3458440477225414,0.3542942101600881
3646,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,47,0.32916482855311785,0.346700909278018
3647,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,48,0.41064340273725336,0.4135110552210966
3648,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,49,0.33625173960970406,0.3664564497360639
3649,10,fasttree_genetrees_800_non,False,LSD+CASTLES-Pro,50,0.338845813035953,0.34782644005869084
3650,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),01,0.2869735097914402,0.24623622135147236
3651,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),02,0.3517386576590759,0.2931630182343904
3652,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),03,0.3991487354398542,0.31567284761962455
3653,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),04,0.3394295652522153,0.25727425962670974
3654,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),05,0.3716836028772108,0.29824355365446886
3655,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),06,0.31431040173331126,0.2569257457627635
3656,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),07,0.3843672413529946,0.3239987978578817
3657,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),08,0.37002302711832624,0.31480024213150676
3658,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),09,0.3192845953685708,0.29321966122185716
3659,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),10,0.3390700754449305,0.30369939762164877
3660,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),11,0.387676530014583,0.3277650280906214
3661,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),12,0.2926663448114712,0.27184491558323054
3662,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),13,0.35508879324635195,0.2936261424081062
3663,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),14,0.38674952956166386,0.2857374167183092
3664,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),15,0.42224311688500243,0.34019619974183835
3665,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),16,0.3427390109426372,0.3157616775159915
3666,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),17,0.3866668356284448,0.30843754523046707
3667,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),18,0.3150376118886787,0.26201231269911257
3668,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),19,0.35603261018628246,0.27600456921640754
3669,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),20,0.3225437094287793,0.26594556992031076
3670,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),21,0.3391663891394145,0.2532283577690684
3671,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),22,0.35580059440000794,0.26669905932549837
3672,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),23,0.3194318472261913,0.2568506817220923
3673,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),24,0.34627840745129507,0.27072149480918684
3674,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),25,0.3328313319128605,0.2785044342888178
3675,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),26,0.37167960225799007,0.3210127164920421
3676,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),27,0.36230392753056206,0.2877464281020411
3677,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),28,0.41188955465763316,0.3138865584669181
3678,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),29,0.30238206806544227,0.2506197936219602
3679,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),30,0.34222553937965955,0.2687743795175129
3680,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),31,0.3339772345500268,0.30448416220693225
3681,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),32,0.25087266696571586,0.1845190947977712
3682,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),33,0.3303034735802588,0.2715345893341152
3683,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),34,0.38554020724164806,0.3291768817536551
3684,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),35,0.33167333730594734,0.2627596735713198
3685,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),36,0.34207352704337074,0.29981177638325324
3686,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),37,0.40675292375264355,0.3171269618159231
3687,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),38,0.3384161835035158,0.2505663879991741
3688,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),39,0.331620058770994,0.26204494861217187
3689,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),40,0.38045127465403455,0.2762310160792573
3690,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),41,0.340294864895315,0.2860318372167482
3691,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),42,0.33318720815816266,0.27383622676157326
3692,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),43,0.39306219668129394,0.27651047031242204
3693,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),44,0.32916840630193334,0.2708481013146119
3694,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),45,0.3381068459372091,0.28619854041643805
3695,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),46,0.3458440477225414,0.2767208579499778
3696,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),47,0.32916482855311785,0.2615779033318246
3697,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),48,0.41064340273725336,0.356458193210132
3698,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),49,0.33625173960970406,0.26782227405997755
3699,10,fasttree_genetrees_800_non,False,LSD+Concat(RAxML),50,0.338845813035953,0.26986826395245156
3700,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,01,0.2869735097914402,0.3679878079154743
3701,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,02,0.3517386576590759,0.3511738055605368
3702,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,03,0.3991487354398542,0.41781566265666786
3703,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,04,0.3394295652522153,0.3602024907022895
3704,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,05,0.3716836028772108,0.38727597699818284
3705,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,06,0.31431040173331126,0.3281665227019107
3706,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,07,0.3843672413529946,0.4148223268690092
3707,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,08,0.37002302711832624,0.433706766648645
3708,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,09,0.3192845953685708,0.3539647645217546
3709,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,10,0.3390700754449305,0.3915974939592032
3710,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,11,0.387676530014583,0.41233487281375436
3711,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,12,0.2926663448114712,0.31923390807495944
3712,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,13,0.35508879324635195,0.3673986704903701
3713,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,14,0.38674952956166386,0.42167778903194064
3714,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,15,0.42224311688500243,0.43597382510657395
