,Taxon,Node Type,l1,l2,l1/l2,Topology
1449,  ,internal,0.266,1.037,0.256509161,ASTRAL
1450,  ,internal,0.525,1.348,0.389465875,ASTRAL
1451,  ,internal,1.188,1.368,0.868421053,ASTRAL
1452,  ,internal,1.439,2.268,0.634479718,ASTRAL
1453,  ,internal,0.248,1.172,0.211604096,ASTRAL
1454,  ,internal,1.292,2.337,0.552845528,ASTRAL
1455,  ,internal,1.529,2.703,0.565667777,ASTRAL
1456,  ,internal,1.597,2.942,0.542828008,ASTRAL
1457,  ,internal,1.668,3.387,0.492471213,ASTRAL
1458,  ,internal,2.249,3.388,0.663813459,ASTRAL
1459,  ,internal,2.524,3.395,0.743446244,ASTRAL
1460,  ,internal,0.315,0.63,0.5,ASTRAL
1461,  ,internal,0.786,2.001,0.392803598,ASTRAL
1462,  ,internal,2.131,2.002,1.064435564,ASTRAL
1463,  ,internal,2.384,2.651,0.899283289,ASTRAL
1464,  ,internal,2.652,3.567,0.743481918,ASTRAL
1465,  ,internal,2.943,3.595,0.818636996,ASTRAL
1466,  ,internal,3.533,3.646,0.969007131,ASTRAL
1467,  ,internal,0.051,0.293,0.174061433,ASTRAL
1468,  ,internal,0.229,0.447,0.512304251,ASTRAL
1469,  ,internal,0.334,0.622,0.536977492,ASTRAL
1470,  ,internal,0.434,0.717,0.605299861,ASTRAL
1471,  ,internal,0.073,0.146,0.5,ASTRAL
1472,  ,internal,0.234,0.372,0.629032258,ASTRAL
1473,  ,internal,0.551,0.803,0.686176837,ASTRAL
1474,  ,internal,0.931,0.809,1.150803461,ASTRAL
1475,  ,internal,0.192,0.088,2.181818182,ASTRAL
1476,  ,internal,0.497,0.371,1.339622642,ASTRAL
1477,  ,internal,0.864,1.279,0.675527756,ASTRAL
1478,  ,internal,0.387,0.938,0.412579957,ASTRAL
1479,  ,internal,1.065,1.426,0.74684432,ASTRAL
1480,  ,internal,1.102,1.542,0.714656291,ASTRAL
1481,  ,internal,1.585,1.663,0.953096813,ASTRAL
1482,  ,internal,0.275,0.724,0.379834254,ASTRAL
1483,  ,internal,0.615,0.929,0.662002153,ASTRAL
1484,  ,internal,1.679,0.932,1.801502146,ASTRAL
1485,  ,internal,1.985,2.368,0.838260135,ASTRAL
1486,  ,internal,0.242,0.779,0.310654685,ASTRAL
1487,  ,internal,0.614,0.802,0.765586035,ASTRAL
1488,  ,internal,0.215,1.061,0.20263902,ASTRAL
1489,  ,internal,0.724,1.276,0.567398119,ASTRAL
1490,  ,internal,1.486,1.288,1.153726708,ASTRAL
1491,  ,internal,2.298,3.515,0.653769559,ASTRAL
1492,  ,internal,1.943,2.651,0.732930969,ASTRAL
1493,  ,internal,0.297,1.173,0.253196931,ASTRAL
1494,  ,internal,2.486,3.235,0.768469861,ASTRAL
1495,  ,internal,2.571,3.588,0.716555184,ASTRAL
1496,  ,internal,3.244,3.658,0.886823401,ASTRAL
1497,  ,internal,1.672,2.778,0.60187185,ASTRAL
1498,  ,internal,1.826,2.349,0.777352065,ASTRAL
1499,  ,internal,1.215,1.966,0.618006104,ASTRAL
