taxa	code	order	family	clade_mag7 	number_mag7	color_mag7	color_mag7_hex
Coturnix_japonica	COTJAP	Galliformes	Phasianidae	Galloanseres	NA	black	#7D0D14
Crotophaga_sulcirostris	CROSUL	Cuculiformes	Cuculidae	Otidimorphae	4	red	#F8961E
Crypturellus_cinnamomeus	CRYCIN	Tinamiformes	Tinamidae	Palaeognathae	NA	black	#570407
Crypturellus_soui	CRYSOU	Tinamiformes	Tinamidae	Palaeognathae	NA	black	#570407
Crypturellus_undulatus	CRYUND	Tinamiformes	Tinamidae	Palaeognathae	NA	black	#570407
Cuculus_canorus	CUCCAN	Cuculiformes	Cuculidae	Otidimorphae	4	red	#F8961E
Daphoenositta_chrysoptera	DAPCHR	Passeriformes	Neosittidae	Telluraves	1	green	#32A287
Dasyornis_broadbenti	DASBRO	Passeriformes	Dasyornithidae	Telluraves	1	green	#32A287
Dicaeum_eximium	DICEXI	Passeriformes	Dicaeidae	Telluraves	1	green	#32A287
Dicrurus_megarhynchus	DICMEG	Passeriformes	Dicruridae	Telluraves	1	green	#32A287
Donacobius_atricapilla	DONATR	Passeriformes	Donacobiidae	Telluraves	1	green	#32A287
Dromaius_novaehollandiae	DRONOV	Casuariiformes	Casuariidae	Palaeognathae	NA	black	#570407
Dromas_ardeola	DROARD	Charadriiformes	Dromadidae	Cursorimorphae	4	yellow	#E4D6A0
Drymodes_brunneopygia	DRYBRU	Passeriformes	Petroicidae	Telluraves	1	green	#32A287
Dryoscopus_gambensis	DRYGAM	Passeriformes	Malaconotidae	Telluraves	1	green	#32A287
Dyaphorophyia_castanea	DYACAS	Passeriformes	Platysteiridae	Telluraves	1	green	#32A287
Edolisoma_coerulescens	EDOCOE	Passeriformes	Campephagidae	Telluraves	1	green	#32A287
Egretta_garzetta	EGRGAR	Pelecaniformes	Ardeidae	Aequornithes	2	darkblue	#1F7A8C
Elachura_formosa	ELAFOR	Passeriformes	Timaliidae	Telluraves	1	green	#32A287
Emberiza_fucata	EMBFUC	Passeriformes	Emberizidae	Telluraves	1	green	#32A287
Eolophus_roseicapillus	EOLROS	Psittaciformes	Cacatuidae	Telluraves	1	green	#32A287
Erithacus_rubecula	ERIRUB	Passeriformes	Muscicapidae	Telluraves	1	green	#32A287
Erpornis_zantholeuca	ERPZAN	Passeriformes	Vireonidae	Telluraves	1	green	#32A287
Erythrocercus_mccallii	ERYMCC	Passeriformes	Scotocercidae	Telluraves	1	green	#32A287
Eubucco_bourcierii	EUBBOU	Piciformes	Ramphastidae	Telluraves	1	green	#32A287
Eudromia_elegans	EUDELE	Tinamiformes	Tinamidae	Palaeognathae	NA	black	#570407
Eulacestoma_nigropectus	EULNIG	Passeriformes	Eulacestomatidae	Telluraves	1	green	#32A287
Eurypyga_helias	EURHEL	Eurypygiformes	Eurypygidae	Phaethontimorphae	3	lightblue	#5C6F83
Eurystomus_gularis	EURGUL	Coraciiformes	Coraciidae	Telluraves	1	green	#32A287
Falco_cherrug	FALCHE	Falconiformes	Falconidae	Telluraves	1	green	#32A287
Falco_peregrinus	FALPER	Falconiformes	Falconidae	Telluraves	1	green	#32A287
Falcunculus_frontatus	FALFRO	Passeriformes	Falcunculidae	Telluraves	1	green	#32A287
Ficedula_albicollis	FICALB	Passeriformes	Muscicapidae	Telluraves	1	green	#32A287
Formicarius_rufipectus	FORRUF	Passeriformes	Formicariidae	Telluraves	1	green	#32A287
Fregata_magnificens	FREMAG	Pelecaniformes	Fregatidae	Aequornithes	2	darkblue	#1F7A8C
Fregetta_grallaria	FREGRA	Procellariiformes	Oceanitidae	Aequornithes	2	darkblue	#1F7A8C
Fulmarus_glacialis	FULGLA	Procellariiformes	Procellariidae	Aequornithes	2	darkblue	#1F7A8C
Furnarius_figulus	FURFIG	Passeriformes	Furnariidae	Telluraves	1	green	#32A287
Galbula_dea	GALDEA	Piciformes	Galbulidae	Telluraves	1	green	#32A287
Gallus_gallus	GALGAL	Galliformes	Phasianidae	Galloanseres	NA	black	#7D0D14
Gavia_stellata	GAVSTE	Gaviiformes	Gaviidae	Aequornithes	2	darkblue	#1F7A8C
Geococcyx_californianus	GEOCAL	Cuculiformes	Cuculidae	Otidimorphae	4	red	#F8961E
Geospiza_fortis	GEOFOR	Passeriformes	Thraupidae	Telluraves	1	green	#32A287
Glareola_pratincola	GLAPRA	Charadriiformes	Glareolidae	Cursorimorphae	4	yellow	#E4D6A0
Glaucidium_brasilianum	GLABRA	Strigiformes	Strigidae	Telluraves	1	green	#32A287
Grallaria_varia	GRAVAR	Passeriformes	Grallariidae	Telluraves	1	green	#32A287
Grantiella_picta	GRAPIC	Passeriformes	Meliphagidae	Telluraves	1	green	#32A287
Grus_americana	GRUAME	Gruiformes	Gruidae	Cursorimorphae	4	yellow	#E4D6A0
Gymnorhina_tibicen	GYMTIB	Passeriformes	Artamidae	Telluraves	1	green	#32A287
Halcyon_senegalensis	HALSEN	Coraciiformes	Alcedinidae	Telluraves	1	green	#32A287
Haliaeetus_albicilla	HALALB	Accipitriformes	Accipitridae	Telluraves	1	green	#32A287
Haliaeetus_leucocephalus	HALLEU	Accipitriformes	Accipitridae	Telluraves	1	green	#32A287
Heliornis_fulica	HELFUL	Gruiformes	Heliornithidae	Cursorimorphae	4	orange	#E4D6A0
Hemignathus_wilsoni	HEMWIL	Passeriformes	Fringillidae	Telluraves	1	green	#32A287
Hemiprocne_comata	HEMCOM	Strisores	Apodidae	Strisores	8	brown	#C4D6B0
Herpetotheres_cachinnans	HERCAC	Falconiformes	Falconidae	Telluraves	1	green	#32A287
Himantopus_himantopus	HIMHIM	Charadriiformes	Recurvirostridae	Cursorimorphae	4	yellow	#E4D6A0
Hippolais_icterina	HIPICT	Passeriformes	Acrocephalidae	Telluraves	1	green	#32A287
Hirundo_rustica	HIRRUS	Passeriformes	Hirundinidae	Telluraves	1	green	#32A287
Horornis_vulcanius	HORVUL	Passeriformes	Scotocercidae	Telluraves	1	green	#32A287
Hydrobates_tethys	HYDTET	Procellariiformes	Hydrobatidae	Aequornithes	2	darkblue	#1F7A8C
Hylia_prasina	HYLPRA	Passeriformes	Scotocercidae	Telluraves	1	green	#32A287
Hypocryptadius_cinnamomeus	HYPCIN	Passeriformes	Passeridae	Telluraves	1	green	#32A287
Ibidorhyncha_struthersii	IBISTR	Charadriiformes	Haematopodidae	Cursorimorphae	4	yellow	#E4D6A0
Ifrita_kowaldi	IFRKOW	Passeriformes	Ifritidae	Telluraves	1	green	#32A287
Illadopsis_cleaveri	ILLCLE	Passeriformes	Pellorneidae	Telluraves	1	green	#32A287
Indicator_maculatus	INDMAC	Piciformes	Indicatoridae	Telluraves	1	green	#32A287
Irena_cyanogastra	IRECYA	Passeriformes	Irenidae	Telluraves	1	green	#32A287
Jacana_jacana	JACJAC	Charadriiformes	Jacanidae	Cursorimorphae	4	yellow	#E4D6A0
Junco_hyemalis	JUNHYE	Passeriformes	Passerellidae	Telluraves	1	green	#32A287
Lanius_ludovicianus	LANLUD	Passeriformes	Laniidae	Telluraves	1	green	#32A287
Larus_smithsonianus	LARSMI	Charadriiformes	Laridae	Cursorimorphae	4	yellow	#E4D6A0
Leiothrix_lutea	LEILUT	Passeriformes	Leiothrichidae	Telluraves	1	green	#32A287
Lepidothrix_coronata	LEPCOR	Passeriformes	Pipridae	Telluraves	1	green	#32A287
Leptocoma_aspasia	LEPASP	Passeriformes	Nectariniidae	Telluraves	1	green	#32A287
Leptosomus_discolor	LEPDIS	Leptosomatiformes	Leptosomidae	Telluraves	1	green	#32A287
Leucopsar_rothschildi	LEUROT	Passeriformes	Sturnidae	Telluraves	1	green	#32A287
Limosa_lapponica	LIMLAP	Charadriiformes	Scolopacidae	Cursorimorphae	4	yellow	#E4D6A0
Locustella_ochotensis	LOCOCH	Passeriformes	Locustellidae	Telluraves	1	green	#32A287
Lonchura_striata	LONSTR	Passeriformes	Estrildidae	Telluraves	1	green	#32A287
Lophotis_ruficrista	LOPRUF	Otidiformes	Otididae	Otidimorphae	4	red	#F8961E
Loxia_curvirostra	LOXCUR	Passeriformes	Fringillidae	Telluraves	1	green	#32A287
Loxia_leucoptera	LOXLEU	Passeriformes	Fringillidae	Telluraves	1	green	#32A287
Machaerirhynchus_nigripectus	MACNIG	Passeriformes	Machaerirhynchidae	Telluraves	1	green	#32A287
Malurus_elegans	MALELE	Passeriformes	Maluridae	Telluraves	1	green	#32A287
