,Taxon,Branch Type,l1,l2,l1/l2,Method
647,Geococcyx californianus,terminal,34.76886404,34.65791739,1.003201192,wLogDate
648,Crotophaga sulcirostris,terminal,34.76886404,34.65791739,1.003201192,wLogDate
649,  ,internal,7.167722726,8.189710255,0.875210783,wLogDate
650,  ,internal,13.86200008,12.9791488,1.068020738,wLogDate
651,Ardeotis kori,terminal,11.25744812,11.96905481,0.940546125,wLogDate
652,Chlamydotis macqueenii,terminal,11.25744812,11.96905481,0.940546125,wLogDate
653,  ,internal,2.419389358,2.098330352,1.153006893,wLogDate
654,Lophotis ruficrista,terminal,13.67683748,14.06738516,0.972237365,wLogDate
655,  ,internal,42.12174937,41.75939128,1.008677284,wLogDate
656,  ,internal,0.881413147,0.853223561,1.033038921,wLogDate
657,Corythaeola cristata,terminal,16.16303863,15.64848036,1.032882316,wLogDate
658,Corythaixoides concolor,terminal,16.16303863,15.64848036,1.032882316,wLogDate
659,  ,internal,7.011728531,8.060094976,0.869931254,wLogDate
660,Tauraco erythrolophus,terminal,23.17476716,23.70857533,0.977484595,wLogDate
661,  ,internal,33.50523284,32.97142467,1.016190024,wLogDate
662,  ,internal,1.447880558,0.785155556,1.844068411,wLogDate
663,Columba livia,terminal,14.20051518,12.43646796,1.141844713,wLogDate
664,Patagioenas fasciata,terminal,14.20051518,12.43646796,1.141844713,wLogDate
665,  ,internal,5.973404057,7.93384575,0.752901461,wLogDate
666,Columbina picui,terminal,20.17391924,20.37031371,0.99035879,wLogDate
667,  ,internal,0.637481523,0.586188557,1.087502503,wLogDate
668,Alopecoenas beccarii,terminal,19.76159292,19.9282155,0.991638861,wLogDate
669,Caloenas nicobarica,terminal,19.76159292,19.9282155,0.991638861,wLogDate
670,  ,internal,1.049807844,1.028286768,1.020929061,wLogDate
671,  ,internal,35.66127242,35.45594501,1.005791057,wLogDate
672,Pterocles gutturalis,terminal,13.08338771,13.05753494,1.001979912,wLogDate
673,Syrrhaptes paradoxus,terminal,13.08338771,13.05753494,1.001979912,wLogDate
674,  ,internal,1.337134805,1.47305349,0.907729973,wLogDate
675,Pterocles burchelli,terminal,14.42052251,14.53058843,0.992425226,wLogDate
676,  ,internal,38.52281644,39.73053935,0.969602152,wLogDate
677,Mesitornis unicolor,terminal,52.94333896,54.26112778,0.975713943,wLogDate
678,  ,internal,3.529334233,2.15131949,1.640543977,wLogDate
679,  ,internal,1.655207371,1.052708284,1.572332426,wLogDate
680,  ,internal,13.5625167,12.91060591,1.050494206,wLogDate
681,  ,internal,0.788202117,0.841334855,0.936847098,wLogDate
682,Podiceps cristatus,terminal,9.386289727,10.56030975,0.888827123,wLogDate
683,Podilymbus podiceps,terminal,9.386289727,10.56030975,0.888827123,wLogDate
684,  ,internal,26.89371027,25.71969025,1.04564674,wLogDate
