,Taxon,Node Type,l1,l2,l1/l2,Method
230,  ,internal,31.607,47.829,0.660833386,MD-Cat
231,  ,internal,55.83,55.83,1,MD-Cat
232,  ,internal,61.375,64.932,0.945219614,MD-Cat
233,  ,internal,0.569,2.219,0.256421812,MD-Cat
234,  ,internal,13.31,13.69,0.972242513,MD-Cat
235,  ,internal,35.574,52.119,0.682553387,MD-Cat
236,  ,internal,65.78,65.78,1,MD-Cat
237,  ,internal,68.102,68.058,1.000646507,MD-Cat
238,  ,internal,68.187,68.14,1.000689756,MD-Cat
239,  ,internal,1.111,1.399,0.79413867,MD-Cat
240,  ,internal,2.006,2.291,0.875600175,MD-Cat
241,  ,internal,3.134,3.459,0.906042209,MD-Cat
242,  ,internal,3.527,3.828,0.921368861,MD-Cat
243,  ,internal,12.301,11.41,1.078089395,MD-Cat
244,  ,internal,21.162,26.756,0.7909254,MD-Cat
245,  ,internal,23.396,30.022,0.779295184,MD-Cat
246,  ,internal,56.61,56.61,1,MD-Cat
247,  ,internal,33.58,33.516,1.001909536,MD-Cat
248,  ,internal,34.17,34.17,1,MD-Cat
249,  ,internal,35.4,35.4,1,MD-Cat
250,  ,internal,54.581,63.037,0.86585656,MD-Cat
251,  ,internal,11.885,13.602,0.873768563,MD-Cat
252,  ,internal,54.975,63.511,0.865598085,MD-Cat
253,  ,internal,64.081,64.06,1.000327818,MD-Cat
254,  ,internal,65.068,65.782,0.989145967,MD-Cat
255,  ,internal,12.107,13.483,0.897945561,MD-Cat
256,  ,internal,12.858,14.445,0.890134995,MD-Cat
257,  ,internal,22.181,31.992,0.693329582,MD-Cat
258,  ,internal,10.358,13.987,0.740544792,MD-Cat
259,  ,internal,23.401,33.116,0.706637275,MD-Cat
260,  ,internal,38.5,38.5,1,MD-Cat
261,  ,internal,12.5,12.5,1,MD-Cat
262,  ,internal,65.85,65.85,1,MD-Cat
263,  ,internal,65.967,66.235,0.995953801,MD-Cat
264,  ,internal,66.312,66.392,0.998795036,MD-Cat
265,  ,internal,26.841,29.801,0.900674474,MD-Cat
266,  ,internal,57.88,57.88,1,MD-Cat
267,  ,internal,66.745,67.175,0.993598809,MD-Cat
268,  ,internal,59.82,59.82,1,MD-Cat
269,  ,internal,10.422,13.685,0.761563756,MD-Cat
270,  ,internal,60.617,61.019,0.993411888,MD-Cat
271,  ,internal,61.02,61.02,1,MD-Cat
272,  ,internal,64.861,64.269,1.009211284,MD-Cat
273,  ,internal,15.186,19.445,0.780971972,MD-Cat
274,  ,internal,64.435,64.399,1.000559015,MD-Cat
275,  ,internal,65.047,65.066,0.999707989,MD-Cat
276,  ,internal,16.225,18.822,0.862023164,MD-Cat
277,  ,internal,18.221,20.947,0.869862033,MD-Cat
278,  ,internal,66.067,65.566,1.007641155,MD-Cat
279,  ,internal,68.404,67.731,1.009936366,MD-Cat
280,  ,internal,2.016,14.205,0.141921859,MD-Cat
281,  ,internal,21.7,21.7,1,MD-Cat
282,  ,internal,23.596,22.1,1.067692308,MD-Cat
283,  ,internal,24.985,25.392,0.98397133,MD-Cat
284,  ,internal,2.143,2.432,0.881167763,MD-Cat
285,  ,internal,2.643,3.005,0.87953411,MD-Cat
286,  ,internal,15.872,15.188,1.045035554,MD-Cat
287,  ,internal,16.273,15.777,1.031438169,MD-Cat
288,  ,internal,25.995,26.51,0.980573369,MD-Cat
289,  ,internal,21.451,20.99,1.021962839,MD-Cat
290,  ,internal,21.996,24.895,0.883550914,MD-Cat
291,  ,internal,33.876,33.706,1.005043612,MD-Cat
292,  ,internal,55.955,54.642,1.024029135,MD-Cat
293,  ,internal,18.017,17.769,1.013956891,MD-Cat
294,  ,internal,21.161,27.686,0.764321318,MD-Cat
295,  ,internal,24.882,24.523,1.014639318,MD-Cat
296,  ,internal,32.47,32.47,1,MD-Cat
297,  ,internal,13.581,13.166,1.031520583,MD-Cat
298,  ,internal,14.754,19.573,0.753793491,MD-Cat
299,  ,internal,37.897,37.848,1.001294652,MD-Cat
300,  ,internal,57.782,55.276,1.045336131,MD-Cat
301,  ,internal,18.222,25.767,0.707183607,MD-Cat
302,  ,internal,13.851,15.244,0.908619785,MD-Cat
303,  ,internal,23.301,31.119,0.748770847,MD-Cat
304,  ,internal,8.343,9.012,0.925765646,MD-Cat
305,  ,internal,29.864,46.828,0.637738105,MD-Cat
